dataset,model,method,loss,ls,mixup,augmix,accuracy,ece,adaece,classece,brier
cifar100,resnet50,bbq,dual_focal,0.0,0.0,False,0.0252,0.006268465891480446,0.00830841,0.24638963,0.9879695177078247
cifar100,resnet50,temperature,dual_focal,0.1,0.0,False,0.343,0.04156176745891571,0.04147692,0.22083685,0.7888140082359314
cifar100,resnet50,platt,dual_focal,0.1,0.0,False,0.3589,0.109678253531456,0.10967824364881062,0.28862480321552525,0.7849889357473832
cifar100,resnet50,isotonic,dual_focal,0.1,0.0,False,0.352,0.024961570277810097,0.031938024,0.23543048,0.7814558744430542
cifar100,resnet50,bbq,dual_focal,0.1,0.0,False,0.0268,0.008307390846312046,0.009646966,0.15592135,0.9875670075416565
cifar100,resnet50,temperature,dual_focal,0.0,0.2,False,0.3569,0.03252280130982399,0.03354043,0.2639663,0.7744442224502563
cifar100,resnet50,platt,dual_focal,0.0,0.2,False,0.3839,0.12811802327632904,0.1281180280224618,0.33640325587592995,0.7748143101230492
cifar100,resnet50,isotonic,dual_focal,0.0,0.2,False,0.37,0.03996845707297325,0.03896776,0.25001696,0.762673556804657
cifar100,resnet50,bbq,dual_focal,0.0,0.2,False,0.0245,0.009782006964087486,0.010165555,0.15469801,0.9875298142433167
cifar100,resnet50,temperature,dual_focal,0.0,0.0,True,0.3826,0.03599647060036659,0.03379492,0.26297298,0.7499933838844299
cifar100,resnet50,platt,dual_focal,0.0,0.0,True,0.4006,0.12717832624912262,0.1271783249776905,0.34082497463144845,0.7514159843556373
cifar100,resnet50,isotonic,dual_focal,0.0,0.0,True,0.3986,0.034668777137994766,0.037428,0.279826,0.7337716221809387
cifar100,resnet50,bbq,dual_focal,0.0,0.0,True,0.0234,0.010340437293052673,0.010980475,0.1682972,0.9874847531318665
cifar100,resnet50,temperature,bsce_gra,0.0,0.0,False,0.4435,0.02041851170361042,0.022463335,0.32614622,0.6929136514663696
cifar100,resnet50,platt,bsce_gra,0.0,0.0,False,0.4595,0.14200758934020996,0.14198559391888757,0.3940729212599326,0.7020669384056372
cifar100,resnet50,isotonic,bsce_gra,0.0,0.0,False,0.459,0.042014338076114655,0.042558208,0.35315254,0.6792992949485779
cifar100,resnet50,bbq,bsce_gra,0.0,0.0,False,0.0205,0.00924748182296753,0.010174014,0.13925557,0.9889252185821533
cifar100,resnet50,temperature,bsce_gra,0.1,0.0,False,0.3795,0.01448074821382761,0.014117679,0.25349814,0.7544271945953369
cifar100,resnet50,platt,bsce_gra,0.1,0.0,False,0.4003,0.12408734112977982,0.12408734136088612,0.3235822151656038,0.7575213219454071
cifar100,resnet50,isotonic,bsce_gra,0.1,0.0,False,0.4009,0.036403074860572815,0.036713697,0.288496,0.7409201860427856
cifar100,resnet50,bbq,bsce_gra,0.1,0.0,False,0.0221,0.007776342332363129,0.0077883266,0.090249814,0.9888384938240051
cifar100,resnet50,temperature,bsce_gra,0.0,0.2,False,0.4197,0.0350293330848217,0.03584493,0.2803356,0.7239675521850586
cifar100,resnet50,platt,bsce_gra,0.0,0.2,False,0.4347,0.14187033474445343,0.14167737966479238,0.34878454330402814,0.7370956240418433
cifar100,resnet50,isotonic,bsce_gra,0.0,0.2,False,0.4392,0.03249538317322731,0.032144472,0.31245726,0.705651581287384
cifar100,resnet50,bbq,bsce_gra,0.0,0.2,False,0.0191,0.010639375075697899,0.01063937,0.12850223,0.9890335202217102
cifar100,resnet50,temperature,bsce_gra,0.0,0.0,True,0.4262,0.012674069032073021,0.014833442,0.30688077,0.7101922631263733
cifar100,resnet50,platt,bsce_gra,0.0,0.0,True,0.4462,0.15230101346969604,0.15230100482409012,0.39366980550728653,0.7253900974913554
cifar100,resnet50,isotonic,bsce_gra,0.0,0.0,True,0.4474,0.05033021792769432,0.05033024,0.33141294,0.6986641883850098
cifar100,resnet50,bbq,bsce_gra,0.0,0.0,True,0.0231,0.007571123540401459,0.008711127,0.13804273,0.9883921146392822
otto,mlp,temperature,cross_entropy,0.0,0.0,False,0.7882999353587589,0.01968592405319214,0.02294876,0.67027485,0.2841790020465851
otto,mlp,platt,cross_entropy,0.0,0.0,False,0.7902391725921137,0.011879176832735538,0.013557643506901964,0.6604966074916336,0.2843448804778544
